O*NET-SOC Code	Alternate Title	Short Title	Source(s)
11-1011.00	Aeronautics Commission Director	n/a	08
11-1011.00	Agency Owner	n/a	10
11-1011.00	Agricultural Services Director	n/a	08
11-1011.00	Arts and Humanities Council Director	n/a	08
11-1011.00	Bank President	n/a	09
11-1011.00	Bureau Chief	n/a	04,06
11-1011.00	Business Development Executive (BD Executive)	BD Executive	09
11-1011.00	Business Development Officer (BD Officer)	BD Officer	09
11-1011.00	Business Enterprise Officer	n/a	08
11-1011.00	Business Executive	n/a	09
11-1011.00	CEO (Chief Executive Officer)	CEO	02,04,08,10
11-1011.00	Chief Administrative Officer (CAO)	CAO	09
11-1011.00	Chief Diversity Officer (CDO)	CDO	02
11-1011.00	Chief Financial Officer (CFO)	CFO	01,02,04,08
11-1011.00	Chief Information Officer (CIO)	CIO	02,08
11-1011.00	Chief Information Security Officer (CISO)	CISO	01
11-1011.00	Chief Innovation Officer (CINO)	CINO	08
11-1011.00	Chief Nursing Officer (CNO)	CNO	02
11-1011.00	Chief Operating Officer (COO)	COO	02,04,08,10
11-1011.00	Chief Technical Officer (CTO)	CTO	02,08
11-1011.00	Chief Technology Officer (CTO)	CTO	01
11-1011.00	Chief Warden	n/a	08
11-1011.00	Commissioner	n/a	04,06
11-1011.00	Consumer Affairs Director	n/a	08
11-1011.00	Corporate Executive	n/a	09
11-1011.00	Correctional Agency Director	n/a	08
11-1011.00	County Commissioner	n/a	04,06
11-1011.00	County Executive Director	n/a	10
11-1011.00	Deputy District Customs Director	n/a	08
11-1011.00	Deputy Insurance Commissioner	n/a	08
11-1011.00	District Customs Director	n/a	08
11-1011.00	Employment Research and Planning Director	n/a	08
11-1011.00	Employment Services Director	n/a	08
11-1011.00	Executive Director	n/a	02,08,10
11-1011.00	Executive Officer	n/a	02,10
11-1011.00	Executive Vice President (EVP)	EVP	02,08
11-1011.00	Finance Vice President (Finance VP)	Finance VP	02,08
11-1011.00	Financial Institution President	n/a	08
11-1011.00	Financial Responsibility Division Director	n/a	08
11-1011.00	Foundation Director	n/a	09
11-1011.00	Government Service Executive	n/a	04,08
11-1011.00	Health Commissioner	n/a	04,06
11-1011.00	Highway Commissioner	n/a	04,06
11-1011.00	Hospital CFO (Hospital Chief Financial Officer)	Hospital CFO	10
11-1011.00	Institution Director	n/a	08
11-1011.00	Insurance Commissioner	n/a	04,06
11-1011.00	Internal Revenue Commissioner	n/a	04,06
11-1011.00	Labor Commissioner	n/a	04,06
11-1011.00	Labor Standards Director	n/a	08
11-1011.00	Law Enforcement Director	n/a	08
11-1011.00	Licensing and Registration Director	n/a	08
11-1011.00	Liquor Commissioner	n/a	04,06
11-1011.00	Liquor Stores and Agencies Supervisor	n/a	08
11-1011.00	Media Executive	n/a	09
11-1011.00	Medical Facilities Section Director	n/a	08
11-1011.00	Music Executive	n/a	09
11-1011.00	Nonprofit Director	n/a	09
11-1011.00	Operations Vice President (Operations VP)	Operations VP	02,08
11-1011.00	Police Commissioner	n/a	08
11-1011.00	President	n/a	02,09,10
11-1011.00	Private Sector Executive	n/a	08
11-1011.00	Public Health Director	n/a	09
11-1011.00	Public Works Commissioner	n/a	08
11-1011.00	Public Works Director	n/a	09
11-1011.00	Railroad Commissioner	n/a	04,06
11-1011.00	Regulatory Agency Director	n/a	08
11-1011.00	Relocation Commissioner	n/a	08
11-1011.00	Road Commissioner	n/a	04,06
11-1011.00	Safety Council Director	n/a	08
11-1011.00	State Assessed Properties Director	n/a	08
11-1011.00	Tax Commissioner	n/a	04,06
11-1011.00	Unemployment Insurance Director	n/a	08
11-1011.00	Water Commissioner	n/a	04,06
11-1011.00	Welfare Director	n/a	08
11-1011.03	Chief Environmental Commitment Officer (CECO)	CECO	08
11-1011.03	Chief Green Officer (CGO)	CGO	08
11-1011.03	Chief Sustainability Officer (CSO)	CSO	02
11-1011.03	Climate Change and Sustainability Manager	n/a	10
11-1011.03	Corporate Sustainability Manager	n/a	10
11-1011.03	Corporate Sustainability Process Manager	n/a	02
11-1011.03	CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President)	CSR and Sustainability VP	02
11-1011.03	Energy and Sustainability Manager	n/a	02,10
11-1011.03	Energy Sustainability Manager	n/a	10
11-1011.03	Energy, Sustainability, and Infrastructure Manager	n/a	10
11-1011.03	Environmental and Sustainability Manager	n/a	10
11-1011.03	Environmental Sustainability Manager	n/a	10
11-1011.03	ESG Manager (Environmental, Social, and Corporate Governance Manager)	ESG Manager	10
11-1011.03	Global Sustainability Manager	n/a	10
11-1011.03	Sustainability Chancellor	n/a	02
11-1011.03	Sustainability Chief	n/a	02
11-1011.03	Sustainability Director	n/a	02,08
11-1011.03	Sustainability Energy Manager	n/a	10
11-1011.03	Sustainability Initiatives Vice President (Sustainability Initiatives VP)	Sustainability Initiatives VP	02
11-1011.03	Sustainability Manager	n/a	02,08,10
11-1011.03	Sustainability Programs Director	n/a	02
11-1011.03	Sustainability Reports Director	n/a	10
11-1011.03	Sustainability Research and Advocacy Director	n/a	08
11-1011.03	Sustainability Strategy Manager	n/a	10
11-1011.03	Sustainable Design Director	n/a	02,08
11-1021.00	Area Manager	n/a	02,10
11-1021.00	Business Coordinator	n/a	09
11-1021.00	Business Manager	n/a	02,10
11-1021.00	Center Manager	n/a	02
11-1021.00	Chief Administrative Officer (CAO)	CAO	09
11-1021.00	Corporate Manager	n/a	09
11-1021.00	Department Manager	n/a	02
11-1021.00	Department Store General Manager (Dept Store GM)	Dept Store GM	04
11-1021.00	Department Store Manager (Dept Store Manager)	Dept Store Manager	04,06,08
11-1021.00	District Commercial Superintendent	n/a	04,06
11-1021.00	District Manager	n/a	01,02,04,06,10
11-1021.00	District Plant Superintendent	n/a	04,06
11-1021.00	District Traffic Chief	n/a	04,06
11-1021.00	District Wire Chief	n/a	04,06
11-1021.00	Division Toll Wire Chief	n/a	04,06
11-1021.00	Division Traffic Superintendent	n/a	04,06
11-1021.00	Drilling and Production Superintendent	n/a	04,06
11-1021.00	Electrical Superintendent	n/a	04,06
11-1021.00	Equipment Maintenance Superintendent	n/a	04,06
11-1021.00	Field Party Manager	n/a	04,06
11-1021.00	Fish and Game Club Manager	n/a	08
11-1021.00	General Manager (GM)	GM	02,04,10
11-1021.00	General Superintendent	n/a	04,06
11-1021.00	Golf and Operations Manager	n/a	08
11-1021.00	Golf Course Manager	n/a	09
11-1021.00	Gym Manager	n/a	09
11-1021.00	Installation Superintendent	n/a	04
11-1021.00	IO Manager (Industrial Organization Manager)	IO Manager	04,06,08
11-1021.00	Laundry Superintendent	n/a	04,06
11-1021.00	Line Construction Superintendent	n/a	04,06
11-1021.00	Manufacturing Operations Manager	n/a	02,04,09
11-1021.00	Mine Superintendent	n/a	04,06
11-1021.00	Movie Theater Manager	n/a	08
11-1021.00	Newspaper Manager	n/a	09
11-1021.00	Nonprofit Manager	n/a	09
11-1021.00	Office Manager	n/a	02
11-1021.00	Offshoring Manager	n/a	08
11-1021.00	Operational Risk Manager	n/a	04
11-1021.00	Operations Director	n/a	02,10
11-1021.00	Operations General Manager (Operations GM)	Operations GM	02
11-1021.00	Operations Manager	n/a	02,04,10
11-1021.00	Operations Supervisor	n/a	04,06,10
11-1021.00	Park Superintendent	n/a	04,06
11-1021.00	Parks and Recreation Manager	n/a	09
11-1021.00	Plant Superintendent	n/a	02
11-1021.00	Print Production Manager	n/a	08
11-1021.00	Printing Manager	n/a	09
11-1021.00	Prison Warden	n/a	09
11-1021.00	Program Director	n/a	03
11-1021.00	Program Manager	n/a	08
11-1021.00	Public Works Director	n/a	09
11-1021.00	Publication Director	n/a	04,06
11-1021.00	Refinery Superintendent	n/a	04,06
11-1021.00	Revenue Director	n/a	04,06
11-1021.00	Revenue Manager	n/a	09
11-1021.00	Roads Superintendent	n/a	04,06
11-1021.00	Shelter Director	n/a	08
11-1021.00	Shop Superintendent	n/a	06
11-1021.00	Site Operations Manager	n/a	02,09
11-1021.00	Solid Waste Manager	n/a	08
11-1021.00	Sports Team Manager	n/a	09
11-1021.00	Store Director	n/a	02,09
11-1021.00	Store Manager	n/a	01,02,04
11-1021.00	Street Commissioner	n/a	04,06
11-1021.00	Street Superintendent	n/a	04,06
11-1021.00	Substation Superintendent	n/a	04,06
11-1021.00	Theatre Manager	n/a	08
11-1021.00	Venue Manager	n/a	08
11-1021.00	Water and Sewer Systems Supervisor	n/a	04,06
11-1021.00	Water Superintendent	n/a	04,06
11-1021.00	Zoo Director	n/a	04,06
11-1031.00	Alderman	n/a	04,06
11-1031.00	Assembly Member	n/a	04,06
11-1031.00	Assembly Person	n/a	04
11-1031.00	Assemblyman	n/a	06
11-1031.00	Assemblywoman	n/a	06
11-1031.00	City Alderman	n/a	04,06
11-1031.00	City Council Member	n/a	04,06
11-1031.00	City Councilman	n/a	04,06
11-1031.00	Congress Member	n/a	04,06,07
11-1031.00	Congressional Representative	n/a	04,06
11-1031.00	Congressman	n/a	04,06
11-1031.00	Congresswoman	n/a	01
11-1031.00	Council Member	n/a	04,06
11-1031.00	Councilman	n/a	04,06
11-1031.00	Councilor	n/a	04,09
11-1031.00	Councilperson	n/a	04
11-1031.00	Councilwoman	n/a	01
11-1031.00	Delegate	n/a	04,06
11-1031.00	Legislator	n/a	04
11-1031.00	Representative	n/a	04,06
11-1031.00	Selectman	n/a	04,06
11-1031.00	Senator	n/a	04,06
11-1031.00	Tribal Council Member	n/a	04,06
11-1031.00	Tribal Delegate	n/a	04,06
11-1031.00	U.S. Representative (United States Representative)	U.S. Representative	04,06
11-1031.00	U.S. Senator (United States Senator)	U.S. Senator	04,06
11-2011.00	Account Director	n/a	08
11-2011.00	Account Executive	n/a	02
11-2011.00	Account Manager	n/a	08
11-2011.00	Account Specialist	n/a	08
11-2011.00	Advertising Account Executive (Ad Account Executive)	Ad Account Executive	08
11-2011.00	Advertising Account Manager (Ad Account Manager)	Ad Account Manager	08
11-2011.00	Advertising Agency Manager (Ad Agency Manager)	Ad Agency Manager	08
11-2011.00	Advertising Campaign Manager (Ad Campaign Manager)	Ad Campaign Manager	08
11-2011.00	Advertising Coordinator (Ad Coordinator)	Ad Coordinator	08
11-2011.00	Advertising Director (Ad Director)	Ad Director	04,08,10
11-2011.00	Advertising Executive (Ad Executive)	Ad Executive	04,08
11-2011.00	Advertising Manager (Ad Manager)	Ad Manager	02,04,10
11-2011.00	Advertising Operations Manager (Ad Operations Manager)	Ad Operations Manager	08,10
11-2011.00	Advertising Sales Manager (Ad Sales Manager)	Ad Sales Manager	02
11-2011.00	Advertising VP (Advertising Vice President)	Advertising VP	04
11-2011.00	Brand Manager	n/a	08
11-2011.00	Campaign Director	n/a	08
11-2011.00	Campaign Manager	n/a	08
11-2011.00	Campaign Program Manager	n/a	10
11-2011.00	Circulation Manager	n/a	08
11-2011.00	Classified Advertising Manager (Classified Ad Manager)	Classified Ad Manager	02,04
11-2011.00	Client Services Director	n/a	08
11-2011.00	Communications Director	n/a	02
11-2011.00	Communications Manager	n/a	02
11-2011.00	Creative Services Director	n/a	02
11-2011.00	Digital Advertising Director	n/a	10
11-2011.00	Digital Advertising Manager (Digital Ad Manager)	Digital Ad Manager	08,10
11-2011.00	Digital Marketing Coordinator	n/a	10
11-2011.00	Marketing and Promotions Manager	n/a	02
11-2011.00	Marketing Coordinator	n/a	08
11-2011.00	Marketing Director	n/a	08
11-2011.00	Marketing Manager	n/a	08
11-2011.00	Media Director	n/a	08
11-2011.00	Media Promoter	n/a	08
11-2011.00	Online Advertising Director	n/a	08
11-2011.00	Print Traffic Manager	n/a	08
11-2011.00	Promotions Director	n/a	02,04
11-2011.00	Promotions Executive Producer (Promos Executive Producer)	Promos Executive Producer	08
11-2011.00	Promotions Manager	n/a	02,04
11-2011.00	Promotions VP (Promotions Vice President)	Promotions VP	04,08
11-2011.00	Sales Promotion Manager	n/a	08
11-2021.00	Account Supervisor	n/a	02
11-2021.00	Brand Manager	n/a	02,08
11-2021.00	Business Developer	n/a	09
11-2021.00	Business Development Director	n/a	02,09
11-2021.00	Business Development Manager	n/a	02
11-2021.00	Category Manager	n/a	02,09
11-2021.00	Channel Manager	n/a	09
11-2021.00	Commercial Director	n/a	09
11-2021.00	Commercial Lines Manager	n/a	02
11-2021.00	Digital Marketing Manager	n/a	10
11-2021.00	Digital Product Manager	n/a	10
11-2021.00	Fashion Coordinator	n/a	04,06,08
11-2021.00	Fashion Marketer	n/a	09
11-2021.00	Internet Marketing Manager	n/a	04,09
11-2021.00	Market Analysis Director	n/a	09
11-2021.00	Market Development Executive	n/a	02
11-2021.00	Market Research Manager	n/a	09
11-2021.00	Marketing Administrator	n/a	04,09
11-2021.00	Marketing Communications Manager	n/a	02,08
11-2021.00	Marketing Coordinator	n/a	02
11-2021.00	Marketing Director	n/a	02,04,06,10
11-2021.00	Marketing Executive	n/a	08
11-2021.00	Marketing Manager	n/a	02,04,08,10
11-2021.00	Marketing Operations Director	n/a	02,08
11-2021.00	Marketing Product Manager	n/a	10
11-2021.00	Marketing Sales Supervisor	n/a	09
11-2021.00	Media Marketing Director	n/a	08
11-2021.00	Membership Director	n/a	08
11-2021.00	Pricing Manager	n/a	09
11-2021.00	Product Line Manager (PLM)	PLM	09
11-2021.00	Product Management Director	n/a	10
11-2021.00	Product Manager	n/a	02,10
11-2021.00	Product Marketing Manager	n/a	02,10
11-2021.00	Sales and Marketing Director	n/a	02,09
11-2021.00	Sales and Marketing Manager	n/a	08
11-2021.00	Sales and Marketing Vice President (Sales and Marketing VP)	Sales and Marketing VP	02
11-2021.00	Sales Marketing Director	n/a	09
11-2021.00	Sustainable Products Marketing Manager	n/a	08
11-2021.00	Technical Product Manager	n/a	10
11-2021.00	World Trade and Maritime Division Manager	n/a	08
11-2022.00	Account Manager	n/a	10
11-2022.00	Area Sales Manager	n/a	10
11-2022.00	Artist Relationship Manager	n/a	09
11-2022.00	Business Development Director	n/a	09
11-2022.00	Business Development Executive	n/a	09
11-2022.00	Business Development Manager	n/a	10
11-2022.00	Channel Manager	n/a	09
11-2022.00	Client Relationship Manager	n/a	09
11-2022.00	Commercial Director	n/a	09
11-2022.00	Dealership Manager	n/a	04,06
11-2022.00	Department Store Manager	n/a	04,06
11-2022.00	District Manager	n/a	04,06,10
11-2022.00	District Sales Manager	n/a	02,04,10
11-2022.00	Division Manager	n/a	04,06
11-2022.00	E-Commerce Director	n/a	01,04
11-2022.00	Export Manager	n/a	04,06,08
11-2022.00	Global Account Manager (GAM)	GAM	09
11-2022.00	Hotel Sales Manager	n/a	08
11-2022.00	Import Export Manager	n/a	09
11-2022.00	Inside Sales Manager	n/a	09
11-2022.00	Marketing Sales Supervisor	n/a	09
11-2022.00	National Account Manager	n/a	02,10
11-2022.00	National Sales Manager	n/a	02
11-2022.00	Professional Equipment Sales and Service Manager	n/a	08
11-2022.00	Regional Director	n/a	10
11-2022.00	Regional Manager	n/a	01,10
11-2022.00	Regional Sales Director	n/a	10
11-2022.00	Regional Sales Manager	n/a	02,04,06,10
11-2022.00	Retail Chain Store Area Supervisor	n/a	08
11-2022.00	Retail District Manager	n/a	09
11-2022.00	Sales Account Manager	n/a	04,09
11-2022.00	Sales Administrator	n/a	08
11-2022.00	Sales and Marketing Director	n/a	09
11-2022.00	Sales and Marketing Manager	n/a	08
11-2022.00	Sales and Marketing Vice President (Sales and Marketing VP)	Sales and Marketing VP	02
11-2022.00	Sales Coordinator	n/a	04,06
11-2022.00	Sales Director	n/a	02,04,06,10
11-2022.00	Sales Manager	n/a	02,10
11-2022.00	Sales Promotion Manager	n/a	09
11-2022.00	Sales Supervisor	n/a	02,04
11-2022.00	Sales Vice President (Sales VP)	Sales VP	02,09,10
11-2022.00	Territory Manager	n/a	02,10
11-2022.00	Territory Sales Manager	n/a	04,09,10
11-2022.00	Utility Sales and Service Manager	n/a	08
11-2022.00	Vehicle Leasing and Rental Manager	n/a	08
11-2022.00	Zone Manager	n/a	01
11-2032.00	Business Development Director	n/a	08
11-2032.00	Campaign Manager	n/a	08
11-2032.00	Communications Director	n/a	02
11-2032.00	Communications Manager	n/a	02,04
11-2032.00	Community Manager	n/a	08
11-2032.00	Community Relations Director	n/a	02
11-2032.00	Customer Service Manager	n/a	08
11-2032.00	Development Director	n/a	02
11-2032.00	Information Director	n/a	08
11-2032.00	Marketing and Communications Manager	n/a	10
11-2032.00	Marketing Communications Manager	n/a	08
11-2032.00	Public Affairs Director	n/a	02,04
11-2032.00	Public Information Director	n/a	04,08
11-2032.00	Public Information Relations Manager	n/a	04,08
11-2032.00	Public Relations Director (PR Director)	PR Director	02,04
11-2032.00	Public Relations Manager (PR Manager)	PR Manager	02,04
11-2032.00	Public Relations Supervisor (PR Supervisor)	PR Supervisor	08
11-2032.00	Publicity Director	n/a	04,08
11-2032.00	Publicity Manager	n/a	08
11-2032.00	Relationship Manager	n/a	08
11-2032.00	University Relations Director	n/a	08
11-2033.00	Account Manager	n/a	08
11-2033.00	Account Supervisor	n/a	02
11-2033.00	Annual Giving Director	n/a	02
11-2033.00	Business Development Director	n/a	08
11-2033.00	Campaign Manager	n/a	08
11-2033.00	Canvass Director	n/a	10
11-2033.00	Community Manager	n/a	08
11-2033.00	Development Director	n/a	02
11-2033.00	Donor Relations Manager	n/a	04
11-2033.00	Funding Coordinator	n/a	04
11-2033.00	Fundraising and Marketing Director	n/a	10
11-2033.00	Fundraising Campaign Manager	n/a	10
11-2033.00	Fundraising Director	n/a	04,08
11-2033.00	Fundraising Events Manager	n/a	10
11-2033.00	Fundraising Manager	n/a	08
11-2033.00	Funds Development Director	n/a	08
11-2033.00	Major Gifts Officer (MGO)	MGO	08
11-2033.00	Underwriter Solicitation Director	n/a	08
11-2033.00	University Relations Director	n/a	08
11-3012.00	Administrative Coordinator	n/a	02
11-3012.00	Administrative Director	n/a	02
11-3012.00	Administrative Manager	n/a	02
11-3012.00	Administrative Officer	n/a	02
11-3012.00	Administrative Services Manager	n/a	08
11-3012.00	Administrator	n/a	02
11-3012.00	Business Administrator	n/a	02
11-3012.00	Business Coordinator	n/a	08
11-3012.00	Business Manager	n/a	02
11-3012.00	Business Office Director	n/a	10
11-3012.00	Business Office Manager	n/a	04,08
11-3012.00	Business Unit Manager	n/a	04,08
11-3012.00	Operations Administrator	n/a	08
11-3012.00	Records and Information Manager	n/a	04,08
11-3012.00	Records Management Director	n/a	04,08
11-3012.00	Service Director	n/a	08
11-3013.00	Building Maintenance Superintendent	n/a	02
11-3013.00	Building Manager	n/a	08
11-3013.00	Building Services Supervisor	n/a	02
11-3013.00	Conference Center Manager	n/a	04
11-3013.00	Facilities Coordinator	n/a	02,08
11-3013.00	Facilities Director	n/a	02,08
11-3013.00	Facilities Electrical Engineer	n/a	10
11-3013.00	Facilities Engineer	n/a	02,10
11-3013.00	Facilities Maintenance Manager	n/a	02,10
11-3013.00	Facilities Manager	n/a	02
11-3013.00	Facilities Operations Director (Facilities Ops Director)	Facilities Ops Director	10
11-3013.00	Facilities Operations Manager (Facilities Ops Manager)	Facilities Ops Manager	02
11-3013.00	Facilities Operations Specialist (Facilities Ops Specialist)	Facilities Ops Specialist	02
11-3013.00	Facilities Project Manager	n/a	10
11-3013.00	Facilities Specialist	n/a	10
11-3013.00	Industrial Production Supervisor	n/a	08
11-3013.00	Maintenance Manager	n/a	08
11-3013.00	Maintenance Superintendent	n/a	02,08
11-3013.00	Operations Administrator (Ops Administrator)	Ops Administrator	08
11-3013.00	Property Disposal Manager	n/a	08
11-3013.00	Property Disposal Officer	n/a	08
11-3013.00	Property Utilization Manager	n/a	08
11-3013.00	Regional Facilities Manager	n/a	10
11-3013.00	Space Officer	n/a	08
11-3013.00	Stadium Manager	n/a	04
11-3013.00	Unclaimed Property Officer	n/a	08
11-3013.00	University Housing Director	n/a	04
11-3013.01	Armed Security Supervisor	n/a	10
11-3013.01	Chief Security Officer (CSO)	CSO	08
11-3013.01	Corporate Physical Security Supervisor	n/a	02
11-3013.01	Corporate Security Director	n/a	08
11-3013.01	Corporate Security Manager	n/a	02
11-3013.01	Enterprise Services Manager	n/a	08
11-3013.01	Internal Security Manager	n/a	08
11-3013.01	Museum Security Chief	n/a	08
11-3013.01	Physical Security Manager	n/a	08
11-3013.01	Safety Manager	n/a	08
11-3013.01	Safety System Support Manager	n/a	08
11-3013.01	Security Director	n/a	02
11-3013.01	Security Field Supervisor	n/a	10
11-3013.01	Security Guard Supervisor	n/a	10
11-3013.01	Security Infrastructure Manager	n/a	08
11-3013.01	Security Management Director	n/a	08
11-3013.01	Security Manager	n/a	02
11-3013.01	Security Officer Site Supervisor	n/a	10
11-3013.01	Security Officer Supervisor	n/a	10
11-3013.01	Security Operations Manager	n/a	08
11-3013.01	Security Program Manager	n/a	10
11-3013.01	Security Project Manager	n/a	10
11-3013.01	Security Services Manager	n/a	08
11-3013.01	Security Shift Supervisor	n/a	10
11-3013.01	Security Site Supervisor	n/a	10
11-3013.01	Security Supervisor	n/a	08
11-3021.00	Application Development Director	n/a	02,04
11-3021.00	Chief Information Security Officer (CISO)	CISO	01
11-3021.00	Computer and Information Systems Manager	n/a	03
11-3021.00	Computer Operations Manager	n/a	01,04,06,07,08
11-3021.00	Computer Programming Manager	n/a	04,06,07
11-3021.00	Computer Security Manager	n/a	04
11-3021.00	Computer Systems Information Director	n/a	04,06,07
11-3021.00	Computing Services Director	n/a	02
11-3021.00	Consulting Technical Director	n/a	10
11-3021.00	Cyber Workforce Manager	n/a	01
11-3021.00	Cybersecurity All-Source Collection Manager	n/a	01
11-3021.00	Cybersecurity All-Source Collection Requirements Manager	n/a	01
11-3021.00	Data Center Manager	n/a	09
11-3021.00	Data Operations Director	n/a	02,04
11-3021.00	Data Processing Manager	n/a	02,04,06,07,08
11-3021.00	Data Systems Manager	n/a	04,06,07
11-3021.00	Development Manager	n/a	02,08
11-3021.00	Enterprise Architecture Director	n/a	10
11-3021.00	Enterprise Architecture Manager	n/a	10
11-3021.00	Information Security Manager	n/a	02,09
11-3021.00	Information Services Manager	n/a	09
11-3021.00	Information Support Project Manager	n/a	01
11-3021.00	Information Systems Administrator	n/a	09
11-3021.00	Information Systems Director (IS Director)	IS Director	02,04
11-3021.00	Information Systems Manager (IS Manager)	IS Manager	02,04,06,07
11-3021.00	Information Systems Operator	n/a	01
11-3021.00	Information Systems Supervisor (IS Supervisor)	IS Supervisor	02
11-3021.00	Information Technology Account Manager (IT Account Manager)	IT Account Manager	03
11-3021.00	Information Technology Administrator (IT Administrator)	IT Administrator	09
11-3021.00	Information Technology Coordinator (IT Coordinator)	IT Coordinator	02,08
11-3021.00	Information Technology Director (IT Director)	IT Director	02,04,09,10
11-3021.00	Information Technology Manager (IT Manager)	IT Manager	02
11-3021.00	Information Technology Systems Director (ITS Director)	ITS Director	02,04
11-3021.00	Interactive Media Project Manager	n/a	01
11-3021.00	Internet and E-Business Project Manager	n/a	01
11-3021.00	Internet Technology Manager	n/a	04,06,07
11-3021.00	IT Portfolio Manager (Information Technology Portfolio Manager)	IT Portfolio Manager	01
11-3021.00	Knowledge Manager	n/a	09
11-3021.00	MIS Director (Management Information Systems Director)	MIS Director	02,04
11-3021.00	Network Director	n/a	04,06,07
11-3021.00	Network Manager	n/a	04,06,07
11-3021.00	Product Solutions Manager	n/a	10
11-3021.00	Product Support Manager	n/a	01
11-3021.00	Programming and Software Development Project Manager	n/a	01
11-3021.00	Software Development Director	n/a	10
11-3021.00	Software Engineering Director	n/a	02,10
11-3021.00	Software Project Manager	n/a	09
11-3021.00	System Development Manager	n/a	01
11-3021.00	Systems Development Manager	n/a	04,06,07
11-3021.00	Systems Engineering Manager	n/a	10
11-3021.00	Systems Tester Administrator	n/a	01
11-3021.00	Technical Director	n/a	10
11-3021.00	Technical Services Manager	n/a	01,02
11-3021.00	Technical Solutions Director	n/a	08
11-3021.00	Technical Support Content Manager	n/a	01
11-3021.00	Technology Director	n/a	02,08,10
11-3031.00	Accountant Supervisor	n/a	08
11-3031.00	Accounting Director	n/a	08
11-3031.00	Accounting Manager	n/a	08,10
11-3031.00	Accounting Supervisor	n/a	02,08
11-3031.00	Accounts Manager	n/a	08
11-3031.00	Accounts Supervisor	n/a	08
11-3031.00	Actuarial Manager	n/a	08
11-3031.00	Asset Manager	n/a	08
11-3031.00	ATM Manager (Automated Teller Machine Manager)	ATM Manager	08
11-3031.00	Auditing Manager	n/a	08
11-3031.00	Auditor Supervisor	n/a	08
11-3031.00	Bank Branch Manager	n/a	02,04,08
11-3031.00	Bank Manager	n/a	08
11-3031.00	Banking Branch Manager	n/a	04
11-3031.00	Banking Center Manager (BCM)	BCM	02,04,08
11-3031.00	Banking Manager	n/a	04,08
11-3031.00	Banking Supervisor	n/a	08
11-3031.00	Branch Manager	n/a	02,10
11-3031.00	Budget Manager	n/a	08
11-3031.00	Business Banking Manager	n/a	02
11-3031.00	Cash Manager	n/a	08
11-3031.00	City Comptroller	n/a	04,08
11-3031.00	Collections Manager	n/a	08
11-3031.00	Comptroller	n/a	04,08
11-3031.00	Cost Accounting Manager	n/a	08
11-3031.00	Credit Administration Manager	n/a	02
11-3031.00	Credit and Collection Manager	n/a	08
11-3031.00	Credit Department Manager	n/a	08
11-3031.00	Credit Manager	n/a	02,04,08
11-3031.00	Credit Office Manager	n/a	08
11-3031.00	Credit Union Manager	n/a	08
11-3031.00	Exchange Floor Manager	n/a	08
11-3031.00	Finance Director	n/a	08
11-3031.00	Finance Manager	n/a	08,10
11-3031.00	Financial Center Manager	n/a	02
11-3031.00	Financial Director	n/a	04,08
11-3031.00	Financial Institution Branch Manager	n/a	08
11-3031.00	Financial Institution Manager	n/a	08
11-3031.00	Financial Manager	n/a	08
11-3031.00	Financial Officer	n/a	04
11-3031.00	Financial Planning Manager	n/a	02
11-3031.00	Financial Reporting Manager	n/a	02
11-3031.00	Financial Supervisor	n/a	08
11-3031.00	Financial Systems Manager	n/a	02
11-3031.00	Fiscal Manager	n/a	04,08
11-3031.00	International Bank Manager	n/a	04,08
11-3031.00	Investment Manager	n/a	08
11-3031.00	Paymaster	n/a	08
11-3031.00	Reimbursement Director	n/a	08
11-3031.00	Residential Mortgage Manager	n/a	04,08
11-3031.00	Risk and Insurance Manager	n/a	08
11-3031.00	Risk Management Director	n/a	08
11-3031.00	Tax Director	n/a	08
11-3031.00	Tax Manager	n/a	08,10
11-3031.01	City Comptroller	n/a	04,06
11-3031.01	City Controller	n/a	04,06
11-3031.01	City Treasurer	n/a	04,06
11-3031.01	Comptroller	n/a	02,04,06,08
11-3031.01	Controller	n/a	02,04,08,09,10
11-3031.01	Corporate Controller	n/a	02,08,10
11-3031.01	Corporate Treasurer	n/a	02
11-3031.01	Cost Controller	n/a	09
11-3031.01	County Treasurer	n/a	04,06
11-3031.01	Financial Controller	n/a	10
11-3031.01	Financial Engineer	n/a	09
11-3031.01	Financial Institution Treasurer	n/a	08
11-3031.01	Financial Officer	n/a	04,06
11-3031.01	Financier	n/a	04,06
11-3031.01	Plant Controller	n/a	09,10
11-3031.01	Production Controller	n/a	10
11-3031.01	Project Controller	n/a	10
11-3031.01	Regional Controller	n/a	02
11-3031.01	School Treasurer	n/a	02,08
11-3031.01	State Comptroller	n/a	04,06
11-3031.01	Treasurer	n/a	02,04,06,08
11-3031.01	Treasury Consultant	n/a	02
11-3031.01	Trust Officer	n/a	04,06
11-3031.03	Asset Manager	n/a	08
11-3031.03	Financial Planning and Analysis Finance Manager	n/a	10
11-3031.03	Financial Planning and Analysis Manager	n/a	10
11-3031.03	Financial Planning Director	n/a	10
11-3031.03	Financial Planning Manager	n/a	10
11-3031.03	Fixed Income Portfolio Manager	n/a	02
11-3031.03	Fixed Income Vice President (Fixed Income VP)	Fixed Income VP	02
11-3031.03	Hedge Fund Manager	n/a	08,09
11-3031.03	Institutional Asset Manager	n/a	08
